cohort,draw,alpha,group,n_benign,benign_coverage,benign_referral,benign_set_size
hiba,18,0.05,3,63,0.9841269841269841,1.0,5.317460317460317
hiba,18,0.05,4,1,1.0,1.0,7.0
hiba,18,0.1,1,8,0.875,1.0,4.375
hiba,18,0.1,2,117,0.9658119658119658,0.9401709401709402,3.4957264957264957
hiba,18,0.1,3,63,0.9682539682539683,0.9047619047619048,3.5238095238095237
hiba,18,0.1,4,1,1.0,1.0,6.0
hiba,18,0.15,1,8,0.875,1.0,3.875
hiba,18,0.15,2,117,0.8717948717948718,0.8888888888888888,2.8205128205128207
hiba,18,0.15,3,63,0.9523809523809523,0.5238095238095238,1.9682539682539681
hiba,18,0.15,4,1,1.0,1.0,6.0
pad,18,0.05,1,3,1.0,1.0,4.0
pad,18,0.05,2,10,0.9,0.9,3.1
pad,18,0.05,3,4,1.0,1.0,3.75
pad,18,0.05,4,1,1.0,1.0,6.0
